,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,7236000000,37281000000,30045000000,22457000000,1110000000,7038000000,3164000000,10844000000,484000000,-633000000,484000000,633000000,-182000000,-198000000,355000000,550000000,2100000000,213000000,633000000,2156000000,1909000000,2733000000,3283000000,1887000000
1,2022-12-31,USD,3407000000,31877000000,28470000000,19659000000,-1832000000,7892000000,2798000000,11723000000,139000000,-565000000,7618000000,565000000,-147000000,1000000,346000000,709000000,-9322000000,-181000000,565000000,-9138000000,-9060000000,-8757000000,-8048000000,-9141000000
2,2021-12-31,USD,227000000,17455000000,17228000000,9351000000,-3834000000,7105000000,2054000000,10040000000,37000000,-483000000,37000000,483000000,346000000,83000000,393000000,656000000,-988000000,-492000000,483000000,-570000000,-485000000,-505000000,151000000,-496000000
3,2020-12-31,USD,-1384000000,11139000000,12523000000,5154000000,-4863000000,6249000000,2205000000,9650000000,55000000,-458000000,55000000,458000000,-128000000,59000000,364000000,354000000,-6960000000,-192000000,458000000,-6788000000,-7116000000,-6502000000,-6148000000,-6768000000
4,2019-12-31,USD,-1152000000,13000000000,15299000000,7208000000,-8596000000,7925000000,4836000000,13029000000,234000000,-559000000,234000000,559000000,394000000,24000000,433000000,166000000,-8461000000,45000000,115000000,-8512000000,-8505000000,-7902000000,-7736000000,-8506000000
