,fiscalDateEnding,reportedEPS
0,2024-09-30,1.36
1,2023-12-31,0.86
2,2022-12-31,-1.83
3,2021-12-31,-0.41
4,2020-12-31,-2.6
5,2019-12-31,-8.32
6,2018-12-31,-1.86
