,fiscalDateEnding,reportedEPS
0,2024-09-30,1.69
1,2023-12-31,3.13
2,2022-12-31,4.07
3,2021-12-31,2.26
4,2020-12-31,0.75
5,2019-12-31,0.07
6,2018-12-31,-0.06
7,2017-12-31,-0.57
8,2016-12-31,-0.11
9,2015-12-31,-1.3
10,2014-12-31,0.03
11,2013-12-31,0.05
12,2012-12-31,-0.21
13,2011-12-31,-0.16
14,2010-12-31,-0.0771
