,fiscalDateEnding,reportedEPS,EPS_pct_change,estimatedEPS,surprise,totalRevenue,revenue_pct_change,netIncome,netIncome_pct_change,netProfitMargin,netProfitMargin_pct_change
0,2007-09-30,-11.4761,,0.0,0.0,0.0,,0.0,,,
1,2007-12-31,-6.8715,-0.401233868648757,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2008-03-31,-0.7947,-0.8843483955468239,0.0,0.0,0.0,0.0,0.0,0.0,,
3,2008-06-30,-3.4315,3.3179816282874044,0.0,0.0,0.0,0.0,0.0,0.0,,
4,2008-09-30,-2.1082,-0.38563310505609794,0.0,0.0,0.0,0.0,0.0,0.0,,
5,2008-12-31,-2.5729,0.2204250071150745,0.0,0.0,0.0,0.0,0.0,0.0,,
6,2009-03-31,-4.1665,0.6193789109565081,0.0,0.0,0.0,0.0,0.0,0.0,,
7,2009-06-30,-3.1484,-0.24435377415096604,0.0,0.0,0.0,0.0,0.0,0.0,,
8,2009-09-30,-2.3755,-0.24548977258289922,0.0,0.0,0.0,0.0,0.0,0.0,,
9,2009-12-31,-2.0,-0.15807198484529578,0.0,0.0,0.0,0.0,0.0,0.0,,
10,2010-03-31,-2.2249,0.11244999999999994,0.0,0.0,0.0,0.0,0.0,0.0,,
11,2010-06-30,-1.2,-0.4606499168501955,-1.2,0.0,0.0,0.0,-488001.0,-488001.0,-inf,
12,2010-09-30,-2.0,0.6666666666666667,-1.2,-0.8,0.0,0.0,-746460.0,0.5296280130573503,-inf,
13,2010-12-31,-1.0799,-0.46004999999999996,0.0,0.0,0.0,0.0,-426155.0,-0.4290986790986791,-inf,
14,2011-03-31,-1.0854,0.0050930641726084245,0.0,0.0,0.0,0.0,-432313.0,0.014450141380483627,-inf,
15,2011-06-30,-0.4134,-0.619126589275843,0.0,0.0,0.0,0.0,-164465.0,-0.6195696173837012,-inf,
16,2011-09-30,-0.2148,-0.48040638606676345,0.0,0.0,0.0,0.0,-85400.0,-0.48074058310278783,-inf,
17,2011-12-31,-0.9345,3.350558659217877,0.0,0.0,41387.0,41387.0,-271758.0,2.182177985948478,-6.566264769130403,
18,2012-03-31,-1.297,0.387907972177635,0.0,0.0,100000.0,1.416217652886172,-1379088.0,4.074691453425475,-13.79088,1.1002625518292009
19,2012-06-30,-0.3886,-0.700385505011565,0.0,0.0,0.0,-1.0,-1305593.0,-0.05329246574547817,-inf,inf
20,2012-09-30,-0.2003,-0.48455995882655684,0.0,0.0,0.0,0.0,-1245826.0,-0.04577766578098994,-inf,
21,2012-12-31,-0.3234,0.6145781328007989,0.0,0.0,0.0,0.0,-1453028.0,0.16631696561157017,-inf,
22,2013-03-31,-0.1882,-0.41805813234384664,0.0,0.0,2500.0,2500.0,-1465481.0,0.008570378547419596,-586.1924,
23,2013-06-30,-0.2495,0.32571732199787456,0.0,0.0,2500.0,0.0,-2218052.0,0.5135317346318377,-887.2208,0.5135317346318377
24,2013-09-30,-0.2318,-0.07094188376753505,0.0,0.0,2500.0,0.0,-2077464.0,-0.0633835455616009,-830.9856,-0.06338354556160099
25,2013-12-31,-0.21,-0.09404659188956002,0.0,0.0,2500.0,0.0,-1882127.0,-0.0940266594270707,-752.8508,-0.09402665942707061
26,2014-03-31,-0.258,0.22857142857142865,0.0,0.0,1410.0,-0.436,-2325000.0,0.23530452514628397,-1648.936170212766,1.1902562502593685
27,2014-06-30,-0.2849,0.10426356589147279,0.0,0.0,666136.0,471.4368794326241,-2596000.0,0.11655913978494624,-3.89710209326624,-0.9976365961498901
28,2014-09-30,-0.3,0.05300105300105301,-0.25,-0.05,440037.0,-0.3394186772671046,-2452000.0,-0.05546995377503852,-5.5722586964278005,0.4298467330522455
29,2014-12-31,-0.3,-0.0,-0.26,-0.04,548863.0,0.24731102157318588,-2745000.0,0.11949429037520391,-5.00124803457329,-0.10247382488192212
30,2015-03-31,-0.33,0.10000000000000009,-0.25,-0.08,1587000.0,1.8914319238134107,-3093000.0,0.126775956284153,-1.9489603024574669,-0.6103052100226912
31,2015-06-30,-0.39,0.1818181818181818,-0.31,-0.08,1718000.0,0.08254568367989919,-3730000.0,0.20594891690914968,-2.171129220023283,0.11399355712154861
32,2015-09-30,-0.41,0.05128205128205118,-0.38,-0.03,2260000.0,0.31548311990686845,-3952000.0,0.05951742627345844,-1.7486725663716813,-0.1945792308239816
33,2015-12-31,-0.48,0.17073170731707318,-0.26,-0.22,3074000.0,0.3601769911504425,-5124000.0,0.2965587044534413,-1.6668835393623942,-0.04677206504073607
34,2016-03-31,-0.42,-0.125,-0.27,-0.15,3752000.0,0.22055953155497723,-4496000.0,-0.12256049960967993,-1.1982942430703625,-0.2811169978145405
35,2016-06-30,-0.35,-0.16666666666666669,0.0,0.0,4276000.0,0.1396588486140725,-4639000.0,0.03180604982206406,-1.0848924228250703,-0.09463603860327767
36,2016-09-30,-0.29,-0.17142857142857143,0.0,0.0,6484000.0,0.5163704396632367,-3850000.0,-0.17007975856865704,-0.5937692782233189,-0.4526929438062273
37,2016-12-31,-0.3,0.03448275862068969,-0.28,-0.02,5054000.0,-0.22054287476866133,-6102000.0,0.584935064935065,-1.2073605065294817,1.0333832530745868
38,2017-03-31,-0.26,-0.13333333333333328,-0.19,-0.07,6097000.0,0.20637119113573407,-5006000.0,-0.17961324156014422,-0.821059537477448,-0.31995494880186465
39,2017-06-30,-0.26,-0.0,0.0,0.0,6857000.0,0.12465146793505003,1484000.0,-1.2964442668797442,0.21642117544115502,-1.2635876761215985
40,2017-09-30,-0.28,0.07692307692307698,0.0,0.0,3527000.0,-0.48563511739827914,-5692000.0,-4.835579514824798,-1.6138361213495889,-8.456923372031087
41,2017-12-31,-0.13,-0.5357142857142857,0.0,0.0,5866000.0,0.6631698327190246,-2771000.0,-0.5131763879128601,-0.47238322536651894,-0.7072917013584482
42,2018-03-31,-0.17,0.30769230769230776,-0.16,-0.01,8865000.0,0.5112512785543811,-3513000.0,0.26777336701551785,-0.3962774957698816,-0.16111014428505044
43,2018-06-30,0.11,-1.647058823529412,-0.12,0.23,10384000.0,0.17134799774393683,2522000.0,-1.7179049245658982,0.24287365177195686,-1.6128878232161679
44,2018-09-30,-0.12,-2.090909090909091,-0.12,0.0,10034000.0,-0.03370570107858244,-2514000.0,-1.9968279143536876,-0.25054813633645606,-2.031598670784203
45,2018-12-31,0.77,-7.416666666666667,0.34,0.43,10695000.0,0.06587602152680885,18130000.0,-8.211614956245027,1.6951846657316503,-7.765904111356953
46,2019-03-31,0.43,-0.4415584415584416,-0.01,0.44,11687000.0,0.0927536231884058,11358000.0,-0.3735245449531164,0.9718490630615213,-0.4267001803947617
47,2019-06-30,-0.09,-1.2093023255813955,-0.08,-0.01,12800000.0,0.0952340207067682,-2378000.0,-1.20936784645184,-0.18578125,-1.1911626579283325
48,2019-09-30,-0.29,2.2222222222222223,-0.24,-0.05,12135000.0,-0.051953125,-11469000.0,3.8229604709840204,-0.9451174289245983,4.087259499678241
49,2019-12-31,0.1,-1.3448275862068968,0.06,0.04,12043000.0,-0.007581376184590029,2657000.0,-1.2316679745400645,0.22062608984472307,-1.2334377539685861
50,2020-03-31,-0.5,-5.999999999999999,-0.25,-0.25,11257000.0,-0.06526612970190152,-12907000.0,-5.857734286789612,-1.1465754641556365,-6.196916941974531
51,2020-06-30,-0.01,-0.98,-0.1,0.09,7555000.0,-0.3288620413964644,-237000.0,-0.9816378709227551,-0.031369953673064194,-0.97264030615188
52,2020-09-30,0.04,-5.0,0.04,0.0,13901000.0,0.8399735274652548,8638000.0,-37.447257383966246,0.621394144306165,-20.80857704739695
53,2020-12-31,0.04,0.0,0.04,0.0,13922000.0,0.0015106826846989425,1149000.0,-0.8669830979393378,0.08253124551070248,-0.8671837411618112
54,2021-03-31,0.01,-0.75,-0.04,0.05,14930000.0,0.07240339031748312,217000.0,-0.8111401218450827,0.014534494306764904,-0.8238910098008869
55,2021-06-30,-0.09,-9.999999999999998,-0.03,-0.06,16820000.0,0.12659075686537175,-2478000.0,-12.419354838709678,-0.1473246135552913,-11.136204978711977
56,2021-09-30,-0.31,2.4444444444444446,-0.02,-0.29,17026000.0,0.012247324613555292,-8328000.0,2.360774818401937,-0.4891342652413955,2.3201123250041458
57,2021-12-31,-0.27,-0.12903225806451607,-0.04,-0.23,18970000.0,0.11417831551744391,-7418000.0,-0.10926993275696446,-0.39103848181338957,-0.20054980891513322
58,2022-03-31,0.03,-1.1111111111111112,-0.04,0.07,20328000.0,0.07158671586715867,-2438000.0,-0.6713399838231329,-0.11993309720582448,-0.6932959215429373
59,2022-06-30,-0.23,-8.666666666666668,-0.01,-0.22,21529000.0,0.059081070444706806,-6239000.0,1.559064807219032,-0.2897951600167216,1.4163068141180954
60,2022-09-30,-0.24,0.04347826086956513,-0.0133,-0.2267,21023000.0,-0.023503181754842305,-6464000.0,0.03606347171020997,-0.3074727679208486,0.061000355917286385
61,2022-12-31,0.04,-1.1666666666666665,-0.12,0.16,23730000.0,0.1287637349569519,1055000.0,-1.1632116336633664,0.04445849136114623,-1.1445932648337527
62,2023-03-31,-0.22,-6.5,-0.05,-0.17,21356000.0,-0.10004214075010535,-6643000.0,-7.296682464454976,-0.3110601236186552,-7.996641453526719
63,2023-06-30,-0.14,-0.3636363636363636,-0.04,-0.1,27766000.0,0.3001498407941562,-4229000.0,-0.36339003462291136,-0.15230857883742707,-0.510356463999384
64,2023-09-30,-0.13,-0.07142857142857148,0.04,-0.17,28516000.0,0.027011452856010948,-4391000.0,0.03830692835185623,-0.15398372843316033,0.010998392923889705
65,2023-12-31,-0.25,0.923076923076923,-0.04,-0.21,31231000.0,0.09520970683125263,-9148000.0,1.0833523115463448,-0.2929140917677948,0.902240546766212
66,2024-03-31,-0.38,0.52,-0.2,-0.18,34587000.0,0.10745733405910794,-13565000.0,0.48283777874945344,-0.39219938127041953,0.3389570262851413
67,2024-06-30,-0.18,-0.5263157894736842,-0.2,0.02,48939000.0,0.41495359528146414,-6473000.0,-0.522816070770365,-0.13226669936042829,-0.6627564813284826
