,fiscalDateEnding,reportedEPS
0,2024-09-30,4.74
1,2023-12-31,4.53
2,2022-12-31,3.97
3,2021-12-31,3.5
4,2020-12-31,0.45
5,2019-12-31,2.46
6,2018-12-31,2.2
7,2017-12-31,1.97
8,2016-12-31,1.68
9,2015-12-31,1.37
10,2014-12-31,1.23
11,2013-12-31,1.08
12,2012-12-31,1.03
13,2011-12-31,0.88
14,2010-12-31,0.81
15,2009-12-31,0.66
16,2008-12-31,0.52
17,2007-12-31,0.53
18,2006-12-31,0.45
19,2005-12-31,0.43
20,2004-12-31,0.1662
