,fiscalDateEnding,reportedEPS
0,2024-09-30,0.78
1,2023-12-31,1.48
2,2022-12-31,1.09
3,2021-12-31,0.83
4,2020-12-31,0.41
5,2019-12-31,0.86
6,2018-12-31,0.54
7,2017-12-31,0.21
8,2016-12-31,0.7
9,2015-12-31,0.71
10,2014-12-31,0.1748
