,fiscalDateEnding,reportedEPS
0,2024-09-30,5.15
1,2023-12-31,5.74
2,2022-12-31,4.04
3,2021-12-31,3.41
4,2020-12-31,2.39
5,2019-12-31,2.08
6,2018-12-31,2.12
7,2017-12-31,1.22
8,2016-12-31,1.42
9,2015-12-31,0.61
10,2014-12-31,0.53
11,2013-12-31,0.68
12,2012-12-31,0.89
13,2011-12-31,1.35
14,2010-12-31,0.59
15,2009-12-31,0.87
16,2008-12-31,2.24
17,2007-12-31,5.9034
