,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,666300000,6666600000,6000300000,4462700000,872200000,1312300000,303500000,1841100000,None,-180100000,None,180100000,6846700000,None,74300000,196700000,533700000,73500000,180600000,460200000,501900000,713800000,910500000,460200000
1,2022-12-31,USD,205400000,5690200000,5484800000,4075400000,223400000,1178300000,282000000,1687700000,None,-147300000,None,147300000,5691500000,None,72000000,230400000,167000000,90400000,147300000,76600000,-5200000,314300000,544700000,76600000
2,2021-12-31,USD,238400000,4990800000,4752400000,3475400000,259900000,1109000000,266400000,1543400000,None,-90600000,None,90600000,4994500000,-62300000,69100000,157900000,166200000,46600000,91000000,119600000,103700000,256800000,414700000,119600000
3,2020-12-31,USD,-48900000,4020200000,4069100000,2896900000,213500000,1008400000,228600000,1652600000,None,-150400000,None,150400000,4170600000,-174000000,60300000,142800000,-254600000,72700000,324400000,-327300000,-293900000,-104200000,38600000,-327300000
4,2019-12-31,USD,-7743002,0,7743002,2978200000,206100000,1100800000,229400000,7743002,14245632,-310400000,None,310400000,4432700000,None,57100000,145800000,-104300000,36500000,0,4389796,-164500000,206100000,351900000,-140800000
5,2018-12-31,USD,-1136896,0,1136896,2865200000,-2173792,1223800000,198300000,1036896,7407083,-288800000,None,288800000,4297900000,None,60400000,156600000,-264100000,49900000,288800000,5030748,-405700000,24700000,181300000,-314000000
