,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
58,2009-12-31,2010-02-24,0.6,0.64,-0.04,-6.25,pre-market
59,2009-09-30,2009-10-28,0.69,0.58,0.11,18.9655,pre-market
60,2009-06-30,2009-07-28,0.59,0.53,0.06,11.3208,pre-market
61,2009-03-31,2009-05-06,-0.2,-0.21,0.01,4.7619,pre-market
62,2008-12-31,2009-03-02,0.09,0.16,-0.07,-43.75,pre-market
63,2008-09-30,2008-10-30,0.2,0.09,0.11,122.2222,pre-market
64,2008-06-30,2008-08-06,0.13,0.12,0.01,8.3333,pre-market
65,2008-03-31,2008-05-07,0.15,0.08,0.07,87.5,pre-market
66,2007-12-31,2008-02-28,-0.04,0.11,-0.15,-136.3636,pre-market
67,2007-09-30,2007-10-31,0.18,0.1,0.08,80,pre-market
68,2007-06-30,2007-08-08,-0.09,-0.1,0.01,10,pre-market
69,2007-03-31,2007-05-08,0.34,0.32,0.02,6.25,pre-market
70,2006-12-31,2007-02-28,0.37,0.31,0.06,19.3548,pre-market
71,2006-09-30,2006-11-01,0.4,0.4,0,0,pre-market
72,2006-06-30,2006-08-02,2.98,2.94,0.04,1.3605,pre-market
73,2006-03-31,2006-05-04,0.23,0.18,0.05,27.7778,pre-market
74,2005-12-31,2006-03-09,0.03,0.06,-0.03,-50,pre-market
75,2005-09-30,2005-11-03,0.12,0.14,-0.02,-14.2857,pre-market
76,2005-06-30,2005-08-04,0.07,0.05,0.02,40,pre-market
77,2005-03-31,2005-05-06,-0.02,-0.05,0.03,60,pre-market
78,2004-12-31,2005-03-10,-0.003,0.02,-0.023,-115,pre-market
79,2004-09-30,2004-11-09,-0.12,-0.09,-0.03,-33.3333,pre-market
80,2004-06-30,2004-08-09,0.02,0.03,-0.01,-33.3333,pre-market
81,2004-03-31,2004-05-10,0.1,0.08,0.02,25,pre-market
82,2003-12-31,2004-03-10,0.02,0.07,-0.05,-71.4286,pre-market
83,2003-09-30,2003-11-13,0.06,None,None,None,pre-market
84,2003-06-30,2003-08-13,0.05,-0.05,0.1,200,pre-market
85,2003-03-31,2003-05-13,0.45,0.03,0.42,1400,pre-market
86,2002-12-31,2003-02-11,0.1,-0.08,0.18,225,pre-market
87,2002-09-30,2002-11-12,-0.11,-0.1,-0.01,-10,pre-market
88,2002-06-30,2002-08-06,0.04,-0.1,0.14,140,pre-market
89,2002-03-31,2002-05-10,0.0003,-0.13,0.1303,100.2308,pre-market
90,2001-12-31,2002-02-14,-0.18,-0.1,-0.08,-80,pre-market
91,2001-09-30,2001-10-23,-0.09,-0.06,-0.03,-50,pre-market
92,2001-06-30,2001-07-31,-0.05,-0.06,0.01,16.6667,pre-market
93,2001-03-31,2001-04-26,-0.04,-0.03,-0.01,-33.3333,pre-market
94,2000-12-31,2000-12-31,-0.8852,None,None,None,pre-market
95,2000-09-30,2000-09-30,0.0011,None,None,None,pre-market
96,2000-06-30,2000-06-30,-0.0214,None,None,None,pre-market
97,2000-03-31,2000-03-31,0.0074,None,None,None,pre-market
98,1999-12-31,1999-12-31,0.03,None,None,None,pre-market
99,1999-09-30,1999-10-26,0.05,0.03,0.02,66.6667,pre-market
100,1999-06-30,1999-08-05,0.05,None,None,None,pre-market
101,1999-03-31,1999-04-29,0.43,0.39,0.04,10.2564,pre-market
102,1998-12-31,1999-02-25,0.36,0.32,0.04,12.5,pre-market
103,1998-09-30,1998-11-04,-0.13,-0.16,0.03,18.75,pre-market
104,1998-06-30,1998-08-10,0.55,0.29,0.26,89.6552,pre-market
105,1998-03-31,1998-05-07,0.04,0.05,-0.01,-20,pre-market
106,1997-12-31,1998-03-04,-0.25,-0.22,-0.03,-13.6364,pre-market
107,1997-09-30,1997-10-30,-0.17,-0.24,0.07,29.1667,pre-market
108,1997-06-30,1997-08-01,-0.17,-0.17,0,0,pre-market
109,1997-03-31,1997-05-14,-0.13,-0.16,0.03,18.75,pre-market
