,fiscalDateEnding,reportedEPS
0,2024-09-30,1.86
1,2023-12-31,1.78
2,2022-12-31,0.53
3,2021-12-31,0.76
4,2020-12-31,0.8
5,2019-12-31,0.14
6,2018-12-31,0.0566
