,fiscalDateEnding,reportedEPS
0,2024-09-30,0.5
1,2023-12-31,1.3
2,2022-12-31,0.79
3,2021-12-31,-3.01
4,2020-12-31,-8.1
5,2019-12-31,-0.07
6,2018-12-31,-0.1
7,2017-12-31,-0.69
8,2016-12-31,-0.24
9,2015-12-31,-0.34
10,2014-12-31,0.03
11,2013-12-31,-0.05
12,2012-12-31,-0.87
13,2011-12-31,-0.4
14,2010-12-31,-1.36
15,2009-12-31,-0.73
16,2008-12-31,-3.11
17,2007-12-31,-0.22
18,2006-12-31,-0.49
19,2005-12-31,-2.02
