fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2013-09-30,2013Q3,0.65,-88.0,0.01,0.64,110623000.0,-75.0,26660000.0,-89.0,0.2409987073212623,-56.0
2013-06-30,2013Q2,0.22,+100.0,0.17,0.05,67692000.0,-6.0,9238000.0,-4.0,0.13647107486852214,+1.0
2013-03-31,2013Q1,-0.17,-171.0,-0.2,0.03,47363000.0,-32.0,-12269000.0,-212.0,-0.25904186812490765,-264.0
2012-12-31,2012Q4,0.57,+16.0,0.01,0.56,87877000.0,+14.0,15532000.0,-32.0,0.17674704416400197,-40.0
2012-09-30,2012Q3,5.56,+875.0,5.42,0.14,434010000.0,+468.0,235669000.0,+799.0,0.5430036174281698,+58.0
2012-06-30,2012Q2,0.22,-41.0,0.29,-0.07,71871000.0,+3.0,9673000.0,-44.0,0.1345883597000181,-45.0
2012-03-31,2012Q1,0.24,-53.0,0.31,-0.07,69305000.0,-12.0,10930000.0,-53.0,0.1577086790274872,-47.0
2011-12-31,2011Q4,0.49,-36.0,0.46,0.03,76956000.0,-19.0,22767000.0,-34.0,0.29584437860595664,-18.0
2011-09-30,2011Q3,0.57,-28.0,0.41,0.16,76455000.0,-17.0,26206000.0,-26.0,0.34276371721927934,-11.0
2011-06-30,2011Q2,0.37,-53.0,0.36,0.01,69873000.0,-23.0,17156000.0,-51.0,0.2455311779943612,-36.0
2011-03-31,2011Q1,0.51,-53.0,0.49,0.02,78458000.0,-32.0,23339000.0,-52.0,0.29747125850773665,-29.0
2010-12-31,2010Q4,0.76,+27.0,0.79,-0.03,95282000.0,+25.0,34311000.0,-12.0,0.3600994941332046,-29.0
2010-09-30,2010Q3,0.79,+14.0,0.72,0.07,91923000.0,+22.0,35515000.0,+16.0,0.38635597184600157,-5.0
