fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2013-06-30,2013Q2,0.3,+650.0,0.1,0.2,1679513000.0,+8.0,58130000.0,+656.0,0.0346112236106538,+598.0
2013-03-31,2013Q1,-0.33,-11.0,-0.36,0.03,923698000.0,+6.0,-63239000.0,-9.0,-0.06846285257735754,-14.0
2012-12-31,2012Q4,-0.85,+57.0,-0.36,-0.49,1437227000.0,+21.0,-159717000.0,+60.0,-0.1111285830282899,+32.0
2012-09-30,2012Q3,0.31,-9.0,0.28,0.03,1963146000.0,+10.0,57948000.0,+12.0,0.029517926837840894,+2.0
2012-06-30,2012Q2,0.04,-43.0,0.04,0.0,1550677000.0,-1.0,7692000.0,-42.0,0.004960414064308686,-42.0
2012-03-31,2012Q1,-0.37,+37.0,-0.44,0.07,867997000.0,+2.0,-69150000.0,+43.0,-0.07966617396143075,+40.0
2011-12-31,2011Q4,-0.54,-25.0,-0.3,-0.24,1185682000.0,-4.0,-99525000.0,-20.0,-0.0839390325567901,-16.0
2011-09-30,2011Q3,0.34,+6.0,0.38,-0.04,1790025000.0,-2.0,51712000.0,+1.0,0.028888981997458135,+4.0
2011-06-30,2011Q2,0.07,-135.0,,,1558882000.0,+23.0,13257000.0,-140.0,0.008504171579375476,-133.0
2011-03-31,2011Q1,-0.27,-64.0,-0.42,0.15,849409000.0,+17.0,-48460000.0,-60.0,-0.05705143223111599,-66.0
2010-12-31,2010Q4,-0.72,-755.0,-0.17,-0.55,1237846000.0,+nan,-124397000.0,+nan,-0.10049473036225831,+nan
2010-09-30,2010Q3,0.32,-59.0,0.36,-0.04,1835806000.0,+nan,51007000.0,+nan,0.027784526251684545,+nan
2010-06-30,2010Q2,-0.2,-39.0,-0.02,-0.18,1266735000.0,+nan,-32787000.0,+nan,-0.0258830773603003,+nan
2010-03-31,2010Q1,-0.76,-41.0,-0.34,-0.42,723361000.0,+nan,-122213000.0,+nan,-0.1689516023119853,+nan
2009-12-31,2009Q4,0.11,-103.0,-0.5,0.61,,+nan,,+nan,,+nan
2009-09-30,2009Q3,0.78,-53.0,0.8,-0.02,,+nan,,+nan,,+nan
2009-06-30,2009Q2,-0.33,-1750.0,0.1,-0.43,,+nan,,+nan,,+nan
2009-03-31,2009Q1,-1.29,+174.0,-0.74,-0.55,,+nan,,+nan,,+nan
2008-12-31,2008Q4,-4.33,+1783.0,-0.22,-4.11,,+nan,,+nan,,+nan
2008-09-30,2008Q3,1.67,+204.0,0.47,1.2,,+nan,,+nan,,+nan
2008-06-30,2008Q2,0.02,-87.0,-0.2,0.22,,+nan,,+nan,,+nan
2008-03-31,2008Q1,-0.47,-32.0,-0.42,-0.05,,+nan,,+nan,,+nan
2007-12-31,2007Q4,-0.23,-56.0,-0.12,-0.11,,+nan,,+nan,,+nan
2007-09-30,2007Q3,0.55,-493.0,0.79,-0.24,,+nan,,+nan,,+nan
2007-06-30,2007Q2,0.15,+100.0,0.01,0.14,,+nan,,+nan,,+nan
2007-03-31,2007Q1,-0.69,-3550.0,-0.12,-0.57,,+nan,,+nan,,+nan
2006-12-31,2006Q4,-0.52,-74.0,-0.13,-0.39,,+nan,,+nan,,+nan
2006-09-30,2006Q3,-0.14,+nan,0.67,-0.81,,+nan,,+nan,,+nan
2006-06-30,2006Q2,0.15,+nan,0.35,-0.2,,+nan,,+nan,,+nan
2006-03-31,2006Q1,0.02,+nan,-0.23,0.25,,+nan,,+nan,,+nan
2005-12-31,2005Q4,-2.02,+nan,0.22,-2.24,,+nan,,+nan,,+nan
