fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2012-12-31,2012Q4,-0.04,-20.0,-0.04,0.0,306332000,+678.0,-89932000,+10.0,-0.2935769034903308,-86.0
2012-09-30,2012Q3,-0.06,+50.0,-0.06,0.0,50104000,-13.0,-110804000,+70.0,-2.211480121347597,+96.0
2012-06-30,2012Q2,-0.06,+50.0,-0.06,0.0,26653000,-54.0,-105603000,+79.0,-3.962143098337898,+291.0
2012-03-31,2012Q1,-0.05,+67.0,-0.05,0.0,30167000,-38.0,-89873000,+84.0,-2.9791825504690554,+198.0
2011-12-31,2011Q4,-0.05,+67.0,-0.04,-0.01,39375000,+9.0,-81488000,+59.0,-2.069536507936508,+46.0
2011-09-30,2011Q3,-0.04,+100.0,-0.04,0.0,57666000,+85.0,-65078000,+86.0,-1.1285332778413624,+1.0
2011-06-30,2011Q2,-0.04,+48.0,-0.03,-0.01,58171000,+105.0,-58903000,+53.0,-1.0125835897612212,-25.0
2011-03-31,2011Q1,-0.03,+nan,-0.03,0.0,49030000,+136.0,-48941000,+66.0,-0.998184784825617,-30.0
2010-12-31,2010Q4,-0.03,+nan,-0.03,0.0,36286000,+nan,-51358000,+nan,-1.415366808135369,+nan
2010-09-30,2010Q3,-0.02,+nan,-0.03,0.01,31241000,+nan,-34935000,+nan,-1.118242053711469,+nan
2010-06-30,2010Q2,-0.0271,+nan,,,28405000,+nan,-38517000,+nan,-1.3559936630874847,+nan
2010-03-31,2010Q1,,+nan,,,20812000,+nan,-29519000,+nan,-1.4183644051508746,+nan
