fiscalDateEnding,quarter,reportedEPS,EPS_YOY_pct_change,estimatedEPS,surprise,totalRevenue,revenue_YOY_pct_change,netIncome,netIncome_YOY_pct_change,netProfitMargin,netProfitMargin_YOY_pct_change
2024-06-30,2024Q2,-0.18,+29.0,-0.2,0.02,48939000.0,+76.0,-6473000.0,+53.0,-0.13226669936042829,-13.0
2024-03-31,2024Q1,-0.38,+73.0,-0.2,-0.18,34587000.0,+62.0,-13565000.0,+104.0,-0.39219938127041953,+26.0
2023-12-31,2023Q4,-0.25,-725.0,-0.04,-0.21,31231000.0,+32.0,-9148000.0,-967.0,-0.2929140917677948,-759.0
2023-09-30,2023Q3,-0.13,-46.0,0.04,-0.17,28516000.0,+36.0,-4391000.0,-32.0,-0.15398372843316033,-50.0
2023-06-30,2023Q2,-0.14,-39.0,-0.04,-0.1,27766000.0,+29.0,-4229000.0,-32.0,-0.15230857883742707,-47.0
2023-03-31,2023Q1,-0.22,-833.0,-0.05,-0.17,21356000.0,+5.0,-6643000.0,+172.0,-0.3110601236186552,+159.0
2022-12-31,2022Q4,0.04,-115.0,-0.12,0.16,23730000.0,+25.0,1055000.0,-114.0,0.04445849136114623,-111.0
2022-09-30,2022Q3,-0.24,-23.0,-0.0133,-0.2267,21023000.0,+23.0,-6464000.0,-22.0,-0.3074727679208486,-37.0
2022-06-30,2022Q2,-0.23,+156.0,-0.01,-0.22,21529000.0,+28.0,-6239000.0,+152.0,-0.2897951600167216,+97.0
2022-03-31,2022Q1,0.03,+200.0,-0.04,0.07,20328000.0,+36.0,-2438000.0,-1224.0,-0.11993309720582448,-925.0
2021-12-31,2021Q4,-0.27,-775.0,-0.04,-0.23,18970000.0,+36.0,-7418000.0,-746.0,-0.39103848181338957,-574.0
2021-09-30,2021Q3,-0.31,-875.0,-0.02,-0.29,17026000.0,+22.0,-8328000.0,-196.0,-0.4891342652413955,-179.0
2021-06-30,2021Q2,-0.09,+800.0,-0.03,-0.06,16820000.0,+123.0,-2478000.0,+946.0,-0.1473246135552913,+370.0
2021-03-31,2021Q1,0.01,-102.0,-0.04,0.05,14930000.0,+33.0,217000.0,-102.0,0.014534494306764904,-101.0
2020-12-31,2020Q4,0.04,-60.0,0.04,0.0,13922000.0,+16.0,1149000.0,-57.0,0.08253124551070248,-63.0
2020-09-30,2020Q3,0.04,-114.0,0.04,0.0,13901000.0,+15.0,8638000.0,-175.0,0.621394144306165,-166.0
2020-06-30,2020Q2,-0.01,-89.0,-0.1,0.09,7555000.0,-41.0,-237000.0,-90.0,-0.031369953673064194,-83.0
2020-03-31,2020Q1,-0.5,-216.0,-0.25,-0.25,11257000.0,-4.0,-12907000.0,-214.0,-1.1465754641556365,-218.0
2019-12-31,2019Q4,0.1,-87.0,0.06,0.04,12043000.0,+13.0,2657000.0,-85.0,0.22062608984472307,-87.0
2019-09-30,2019Q3,-0.29,+142.0,-0.24,-0.05,12135000.0,+21.0,-11469000.0,+356.0,-0.9451174289245983,+277.0
2019-06-30,2019Q2,-0.09,-182.0,-0.08,-0.01,12800000.0,+23.0,-2378000.0,-194.0,-0.18578125,-176.0
2019-03-31,2019Q1,0.43,-353.0,-0.01,0.44,11687000.0,+32.0,11358000.0,-423.0,0.9718490630615213,-345.0
2018-12-31,2018Q4,0.77,-692.0,0.34,0.43,10695000.0,+82.0,18130000.0,-754.0,1.6951846657316503,-459.0
2018-09-30,2018Q3,-0.12,-57.0,-0.12,0.0,10034000.0,+184.0,-2514000.0,-56.0,-0.25054813633645606,-84.0
2018-06-30,2018Q2,0.11,-142.0,-0.12,0.23,10384000.0,+51.0,2522000.0,+70.0,0.24287365177195686,+12.0
2018-03-31,2018Q1,-0.17,-35.0,-0.16,-0.01,8865000.0,+45.0,-3513000.0,-30.0,-0.3962774957698816,-52.0
2017-12-31,2017Q4,-0.13,-57.0,,,5866000.0,+16.0,-2771000.0,-55.0,-0.47238322536651894,-61.0
2017-09-30,2017Q3,-0.28,-3.0,,,3527000.0,-46.0,-5692000.0,+48.0,-1.6138361213495889,+172.0
2017-06-30,2017Q2,-0.26,-26.0,,,6857000.0,+60.0,1484000.0,-132.0,0.21642117544115502,-120.0
2017-03-31,2017Q1,-0.26,-38.0,-0.19,-0.07,6097000.0,+62.0,-5006000.0,+11.0,-0.821059537477448,-31.0
2016-12-31,2016Q4,-0.3,-38.0,-0.28,-0.02,5054000.0,+64.0,-6102000.0,+19.0,-1.2073605065294817,-28.0
2016-09-30,2016Q3,-0.29,-29.0,,,6484000.0,+187.0,-3850000.0,-3.0,-0.5937692782233189,-66.0
2016-06-30,2016Q2,-0.35,-10.0,,,4276000.0,+149.0,-4639000.0,+24.0,-1.0848924228250703,-50.0
2016-03-31,2016Q1,-0.42,+27.0,-0.27,-0.15,3752000.0,+136.0,-4496000.0,+45.0,-1.1982942430703625,-39.0
2015-12-31,2015Q4,-0.48,+60.0,-0.26,-0.22,3074000.0,+460.0,-5124000.0,+87.0,-1.6668835393623942,-67.0
2015-09-30,2015Q3,-0.41,+37.0,-0.38,-0.03,2260000.0,+414.0,-3952000.0,+61.0,-1.7486725663716813,-69.0
2015-06-30,2015Q2,-0.39,+37.0,-0.31,-0.08,1718000.0,+158.0,-3730000.0,+44.0,-2.171129220023283,-44.0
